| Judul                                            | Track | Chapter                                 | Status             | Durasi   | Link Video                                                 |
| Cara Install Cisco Packet Tracer                 | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Opsional & Praktik | 11.12    | https://youtu.be/XIo3oNFHFAo?si=LOH16WWBwjusW0dl           |
| Konfigurasi Dasar IP Address di Windows          | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Praktik    | 05.01    | https://youtu.be/P3yoSI4NygI?si=Zz87z9FhV3O09sNk           |
| Perbedaan CLI & GUI                              | CORE  | BAB 3: DASAR COMMAND LINE INTERFACE     | Wajib & Teori      | 04.15    | https://youtu.be/T0NGgVO_suQ?si=3YDs0civmPma_b3S           |
| Perintah Dasar Linux                             | CORE  | BAB 3: DASAR COMMAND LINE INTERFACE     | Wajib & Praktik    | 15.03    | https://youtu.be/ClbWfffCYf4?si=zk788POVic4vn0JQ           |
| Perintah Dasar Linux - Jaringan (Part 1)         | CORE  | BAB 3: DASAR COMMAND LINE INTERFACE     | Wajib & Praktik    | 07.45    | https://youtu.be/p6nrkK9ySyM?si=ZzqWDHr3xVejcEea           |
| Perintah Dasar Linux - Jaringan (Part 2)         | CORE  | BAB 3: DASAR COMMAND LINE INTERFACE     | Wajib & Praktik    | 18.12    | https://youtu.be/bged7SRX2fw?si=xalfjM9iZszVmaZB           |
| Konfigurasi Dasar IP Address di Linux            | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Opsional & Praktik | 18.52    | https://youtu.be/TG5BkpmAP3A?si=H2YTi7oaZ-hYgNJe           |
| Perbedaan Telnet dan SSH                         | CORE  | BAB 3: DASAR COMMAND LINE INTERFACE     | Wajib & Teori      | 04.46    | https://youtu.be/UxqlqjrAmaQ?si=eW2AR31ob9Ureg9j           |
| Mengenal Secure Shell (SSH)                      | CORE  | BAB 3: DASAR COMMAND LINE INTERFACE     | Wajib & Teori      | 13.20    | https://youtu.be/HlSktNwxCW8?si=Psv5-DhYV3As3aNg           |
| Konsep Client - Server                           | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 03.58    | https://youtu.be/7TiVd8MYsIs?si=0QzlTm8EPdqb8OBp           |
| Apa itu Server                                   | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 08.03    | https://youtu.be/83_6oQNm_b8?si=hS3w-rzZOlS33X-x           |
| Memahami URL Secara Cepat                        | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 02.27    | https://youtu.be/5Jr-_Za5yQM?si=RW56YVChA_SmEjsy           |
| Penjelasan URL & Parameter                       | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      |          | https://youtu.be/DtJxopj_fzA?si=Ox_ayGzjdNpI_Z5t           |
| Penjelasan Domain                                | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 02.05    | https://youtu.be/NXT0d3J-yz4?si=f5yM27Ebl0gwNqgd           |
| Bagaimana Cara Kerja Domain?                     | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 01.39    | https://youtu.be/7e93UHZHkUc?si=fr8wPFGy0ZaNZN9H           |
| Apa itu DNS dan Bagaimana Cara Kerjanya?         | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 06.59    | https://youtu.be/2tBYH2yX9tI?si=BzUuSZfxFi3xCNEK           |
| Apa itu HTTP dan HTTPS?                          | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 08.48    | https://youtu.be/sqiO0Jdkwoo?si=piqUiBvqADPC3MF1           |
| Mengenal Cookies Browser                         | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 9,38     | https://youtu.be/TAmlkdCbflU?si=DzbKCtrvbf9FjWDz           |
| Membangun Web Server dengan Nginx                | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Opsional & Praktik | 17,09    | https://youtu.be/cOCTuDrQb1c?si=fWHEITW_FUMMWs8I           |
| Apa itu Database?                                | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 01.35    | https://youtube.com/shorts/OgEy9OZEwBs?si=-G3d34UEFtbwHu-j |
| Mengenal API (Application Programming Interface) | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 07.02    | https://youtu.be/EGG0iHWf23E?si=SGiKg7hz63a7e9Vf           |
| Apa itu JSON?                                    | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 05.51    | https://youtu.be/Vn_kxudkF4Y?si=DMXHO4q-9Y5vn9jv           |
| Konsep Mesin Pencari (Search Engine)             | CORE  | BAB 4: DASAR-DASAR TEKNOLOGI WEBSITE    | Wajib & Teori      | 02.18    | https://youtu.be/M0KuYE2tN-M?si=40Xy_3qNwgccWfdy           |
| Mengenal Router                                  | CORE  | BAB 2: DASAR-DASAR JARINGAN KOMPUTER    | Wajib & Teori      | 08.39    | https://youtu.be/PP_hmimimxI?si=zwxI6IoXI9tRKEfr           |

